Eng Displ,# Cyl,Comb Unadj FE - Conventional Fuel,# Gears,Max Ethanol % - Gasoline,Intake Valves Per Cyl,Exhaust Valves Per Cyl,Stop/Start System (Engine Management System)  Description,Lockup Torque Converter,Calc Approach Desc,Cyl Deact?,Trans Creeper Gear
3.5,6,31.0709,7,10.0,2,2,Yes,,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,^^,N
,4,43.5176,6,10.0,2,2,No,Y,not filled in,^^,N
2.4,4,33.7787,6,10.0,2,2,No,   ,Derived 5-cycle label,^^,N
,8,22.8351,8,10.0,2,2,No,,Derived 5-cycle label,N,N
2.0,4,31.5709,6,10.0,2,2,No,N,not filled in,^^,N
6.5,12,16.2581,7,10.0,2,2,none,   ,Vehicle Specific 5-cycle label,Y,N
,4,38.0961,6,10.0,2,2,Yes,Y,Derived 5-cycle label,^^,N
3.0,6,27.2096,8,10.0,2,2,No,   ,Vehicle Specific 5-cycle label,N,N
1.6,4,38.2932,6,10.0,2,2,No,N,not filled in,^^,N
,4,32.8775,5,10.0,2,2,No,   ,Derived 5-cycle label,N,N
2.0,4,30.0404,8,10.0,2,2,none,Y,Vehicle Specific 5-cycle label,^^,N
,6,24.5122,6,10.0,2,2,No,   ,Derived 5-cycle label,N,N
,8,25.3787,8,10.0,2,2,none,Y,Derived 5-cycle label,N,N
,6,25.8927,6,15.0,2,2,No,Y,Derived 5-cycle label,N,N
,4,36.6511,7,10.0,2,2,Yes,Y,Derived 5-cycle label,N,N
,6,24.7921,6,10.0,2,2,none,Y,Derived 5-cycle label,N,N
1.8,4,47.4815,1,10.0,2,2,No,Y,not filled in,^^,N
,6,24.1463,6,85.0,2,2,No,Y,Derived 5-cycle label,N,N
3.5,6,30.2852,7,85.0,2,2,Yes,   ,not filled in,^^,N
3.7,6,28.3582,6,15.0,2,2,none,,Derived 5-cycle label,^^,N
,6,23.7581,6,15.0,2,2,No,Y,not filled in,N,N
3.4,6,27.9596,7,10.0,2,2,none,N,Derived 5-cycle label,N,N
5.3,8,18.3252,4,85.0,1,1,No,   ,Derived 5-cycle label,^^,N
1.8,4,39.2241,6,15.0,2,2,No,   ,Derived 5-cycle label,^^,N
6.4,8,21.8531,5,10.0,1,1,No,   ,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,^^,N
,6,23.7581,6,15.0,2,2,No,   ,Derived 5-cycle label,N,N
1.8,4,35.1331,6,10.0,2,2,none,Y,Derived 5-cycle label,^^,N
2.5,4,32.8068,1,10.0,2,2,No,   ,Derived 5-cycle label,N,N
2.0,4,59.4281,1,15.0,2,2,Yes,,Derived 5-cycle label,^^,N
2.4,4,27.6702,4,10.0,2,2,No,   ,Derived 5-cycle label,^^,N
1.4,4,40.0906,6,10.0,2,2,none,Y,Derived 5-cycle label,^^,N
5.3,8,18.3618,4,85.0,1,1,No,Y,Derived 5-cycle label,N,N
3.0,6,26.4887,7,10.0,2,2,Yes,   ,Derived 5-cycle label,N,N
4.6,8,18.6788,4,85.0,1,1,No,Y,not filled in,N,N
3.6,6,29.1393,6,85.0,2,2,No,Y,not filled in,^^,N
4.7,8,26.8613,7,10.0,2,2,Yes,Y,not filled in,^^,N
,8,18.7065,5,85.0,2,2,No,   ,Derived 5-cycle label,^^,N
,6,23.8698,6,10.0,2,2,none,Y,Derived 5-cycle label,N,N
3.6,6,27.4438,6,10.0,2,2,none,Y,not filled in,N,N
,4,39.6538,6,10.0,2,2,none,Y,Derived 5-cycle label,N,N
