Eng Displ,# Cyl,Comb Unadj FE - Conventional Fuel,# Gears,Max Ethanol % - Gasoline,Intake Valves Per Cyl,Exhaust Valves Per Cyl,Stop/Start System (Engine Management System)  Description,Lockup Torque Converter,Calc Approach Desc,Cyl Deact?,Trans Creeper Gear
,8,23.7829,7,10.0,2,2,none,Y,Vehicle Specific 5-cycle label,N,N
1.5,4,51.1079,7,10.0,2,2,none,Y,Derived 5-cycle label,N,N
3.5,6,27.7537,1,10.0,2,2,No,   ,Derived 5-cycle label,N,N
3.4,6,28.6906,7,10.0,2,2,none,N,Derived 5-cycle label,N,N
3.5,6,28.6016,6,15.0,2,2,No,Y,Derived 5-cycle label,N,N
3.0,6,24.4063,6,10.0,2,2,No,N,not filled in,N,N
,4,40.0906,6,10.0,2,2,No,Y,Derived 5-cycle label,N,N
5.2,10,19.276,6,10.0,2,2,none,Y,not filled in,^^,N
2.4,4,32.166,6,10.0,2,2,none,N,not filled in,N,N
2.0,4,34.8128,6,10.0,2,2,No,Y,Vehicle Specific 5-cycle label,^^,N
,6,25.2471,6,10.0,2,2,No,Y,Derived 5-cycle label,N,N
3.8,6,28.5856,7,10.0,2,2,none,   ,Derived 5-cycle label,N,N
2.4,4,33.8485,5,10.0,2,2,No,   ,not filled in,^^,N
4.4,8,24.2137,8,10.0,2,2,none,   ,Derived 5-cycle label,N,N
3.0,6,23.957,8,15.0,2,2,none,Y,Vehicle Specific 5-cycle label,N,N
4.0,6,23.0853,5,10.0,2,2,No,   ,Derived 5-cycle label,^^,N
3.5,6,27.415,6,10.0,2,2,none,Y,not filled in,N,N
3.0,6,24.5721,8,10.0,2,2,Yes,,not filled in,^^,N
,4,32.6645,6,10.0,2,2,No,,Derived 5-cycle label,N,N
4.4,8,24.2137,8,10.0,2,2,Yes,,not filled in,N,N
,8,18.1756,5,10.0,2,2,No,Y,not filled in,N,N
2.5,4,39.2084,6,10.0,2,2,No,,Derived 5-cycle label,^^,N
6.5,12,15.6681,7,10.0,2,2,none,Y,Vehicle Specific 5-cycle label,Y,N
2.4,4,28.4695,6,10.0,2,2,No,   ,not filled in,N,N
,6,36.8664,8,,2,2,Yes,,Vehicle Specific 5-cycle label,N,N
3.6,6,26.7474,6,85.0,2,2,No,Y,Derived 5-cycle label,N,N
6.2,8,20.4428,6,10.0,1,1,No,,not filled in,N,N
3.5,6,27.6812,6,15.0,2,2,No,   ,Derived 5-cycle label,^^,N
2.0,4,34.2607,7,10.0,2,2,none,Y,not filled in,^^,N
5.0,8,23.3026,6,10.0,2,2,none,Y,Derived 5-cycle label,N,N
,6,41.646,8,15.0,2,2,Yes,,Vehicle Specific 5-cycle label,^^,N
,6,24.7683,8,10.0,2,2,Yes,Y,Derived 5-cycle label,N,N
,4,36.7729,6,10.0,2,2,No,,Derived 5-cycle label,N,N
3.5,6,29.6324,7,10.0,2,2,none,Y,not filled in,N,N
,6,31.6963,7,10.0,2,2,none,Y,Derived 5-cycle label,N,N
5.7,8,18.9543,6,85.0,2,2,No,Y,Derived 5-cycle label,N,N
3.4,6,28.5578,7,10.0,2,2,none,N,Derived 5-cycle label,^^,N
2.0,4,34.399,6,10.0,2,2,No,Y,Vehicle Specific 5-cycle label,^^,N
5.5,8,28.7162,7,10.0,2,2,none,Y,not filled in,^^,N
1.6,4,41.84,6,10.0,2,2,No,   ,not filled in,^^,N
,8,20.657,8,85.0,2,2,Yes,Y,Derived 5-cycle label,N,N
2.4,4,32.4809,5,10.0,2,2,No,,not filled in,N,N
1.6,4,36.2557,6,10.0,2,2,No,N,not filled in,^^,N
3.6,6,25.9349,6,10.0,2,2,No,Y,Derived 5-cycle label,N,N
3.6,6,28.1841,6,85.0,2,2,none,Y,Derived 5-cycle label,N,N
2.0,4,40.2268,1,10.0,2,2,No,   ,Derived 5-cycle label,N,N
4.8,8,23.9679,7,10.0,2,2,Yes,   ,Derived 5-cycle label,N,N
,4,39.4431,6,10.0,2,2,No,N,not filled in,N,N
2.0,4,34.001,6,10.0,2,2,No,N,Vehicle Specific 5-cycle label,^^,N
1.6,4,34.991,6,10.0,2,2,No,,not filled in,N,N
3.7,6,22.7041,6,85.0,2,2,No,   ,Derived 5-cycle label,^^,N
4.0,8,23.5959,8,10.0,2,2,none,Y,not filled in,Y,N
,6,25.2654,8,85.0,1,1,No,   ,Derived 5-cycle label,^^,N
,6,28.6032,8,10.0,2,2,Yes,Y,Derived 5-cycle label,N,N
4.6,8,17.2524,4,,1,1,No,Y,Derived 5-cycle label,^^,N
3.5,6,28.9267,6,10.0,2,2,none,   ,Derived 5-cycle label,N,N
3.5,6,26.0815,6,15.0,2,2,No,,not filled in,N,N
,4,40.9233,6,10.0,2,2,none,N,Derived 5-cycle label,N,N
1.6,4,35.9089,6,10.0,2,2,No,Y,not filled in,^^,N
1.5,4,54.8646,7,10.0,1,1,No,Y,not filled in,Y,N
,6,27.3422,7,10.0,2,2,Yes,   ,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,^^,N
3.8,6,25.7642,7,10.0,2,2,none,N,not filled in,^^,N
3.5,6,28.1518,7,10.0,2,2,Yes,Y,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,N,N
4.4,8,25.3787,8,10.0,2,2,Yes,,Derived 5-cycle label,N,N
,6,23.6875,5,10.0,2,2,No,Y,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,N,N
1.2,3,50.5419,5,10.0,2,2,No,N,not filled in,^^,N
,8,19.4738,7,10.0,2,2,No,Y,Vehicle Specific 5-cycle label,^^,N
2.0,4,29.3742,8,15.0,2,2,No,,Vehicle Specific 5-cycle label,^^,N
,6,27.855,6,10.0,2,2,none,N,Derived 5-cycle label,N,N
,4,32.317,6,15.0,2,2,No,Y,not filled in,N,N
,4,34.6771,5,10.0,1,1,No,N,Vehicle Specific 5-cycle label,^^,N
3.5,6,28.2183,6,10.0,2,2,none,Y,not filled in,N,N
,4,40.9469,4,10.0,2,2,No,Y,not filled in,^^,N
,4,28.3382,9,10.0,2,2,No,Y,Derived 5-cycle label,N,N
3.0,6,37.7304,8,,2,2,Yes,Y,not filled in,^^,N
,8,16.6605,6,10.0,1,1,No,Y,Derived 5-cycle label,N,N
2.0,4,31.7515,6,15.0,2,2,No,Y,Derived 5-cycle label,N,N
,4,34.3345,6,10.0,2,2,No,Y,Derived 5-cycle label,^^,N
1.6,4,39.6659,6,10.0,2,2,No,Y,not filled in,^^,N
,6,28.9852,8,10.0,2,2,Yes,,Derived 5-cycle label,N,N
5.6,8,18.8748,5,85.0,2,2,none,Y,Derived 5-cycle label,N,N
,8,16.5667,7,10.0,2,2,No,Y,Derived 5-cycle label,N,N
3.6,6,27.1436,6,10.0,2,2,none,Y,Derived 5-cycle label,^^,N
7.0,8,19.4719,6,10.0,1,1,No,N,not filled in,^^,N
5.7,8,21.6407,8,10.0,1,1,No,Y,Derived 5-cycle label,Y,N
5.7,8,22.6721,5,10.0,1,1,No,,Derived 5-cycle label,Y,N
2.5,6,32.0641,6,10.0,2,2,none,   ,Derived 5-cycle label,^^,N
2.4,4,31.3617,6,10.0,2,2,No,Y,not filled in,^^,N
2.0,4,32.9995,8,10.0,2,2,none,Y,Derived 5-cycle label,N,N
,4,29.6382,6,10.0,2,2,No,Y,Derived 5-cycle label,N,N
1.6,4,39.6538,6,10.0,2,2,No,Y,not filled in,N,N
,8,22.0455,6,85.0,1,1,No,Y,not filled in,^^,N
3.8,6,27.8027,7,10.0,2,2,none,N,Derived 5-cycle label,N,N
,6,33.1162,8,,2,2,No,Y,not filled in,N,N
,6,33.4878,8,10.0,2,2,none,Y,Derived 5-cycle label,N,N
,6,26.4813,6,15.0,2,2,No,   ,Derived 5-cycle label,N,N
1.4,4,40.8578,6,10.0,2,2,No,   ,not filled in,N,N
3.5,6,30.8441,6,10.0,2,2,No,Y,Derived 5-cycle label,^^,N
5.4,8,16.9609,4,85.0,1,1,No,   ,Derived 5-cycle label,^^,N
,8,18.413,6,85.0,1,1,none,Y,Derived 5-cycle label,Y,N
2.0,4,33.9733,5,10.0,2,2,No,N,not filled in,^^,N
5.7,8,23.404,5,10.0,1,1,No,,not filled in,^^,N
6.0,12,18.1658,8,85.0,2,2,No,   ,Vehicle Specific 5-cycle label,^^,N
2.4,4,29.9192,6,15.0,2,2,none,Y,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,N,N
,4,39.4431,6,10.0,2,2,none,N,Derived 5-cycle label,N,N
,6,28.1018,7,10.0,2,2,No,Y,Derived 5-cycle label,N,N
2.4,4,33.086,5,10.0,2,2,none,Y,Derived 5-cycle label,N,N
,8,18.5105,6,85.0,2,2,No,Y,Derived 5-cycle label,N,N
,8,20.4637,8,10.0,1,1,No,Y,Derived 5-cycle label,^^,N
1.8,4,42.142,6,15.0,2,2,No,,Derived 5-cycle label,N,N
3.6,6,25.3256,6,85.0,2,2,No,Y,not filled in,^^,N
4.0,8,24.4081,8,10.0,2,2,Yes,   ,Vehicle Specific 5-cycle label,^^,N
1.6,4,39.4431,6,10.0,2,2,none,N,Derived 5-cycle label,^^,N
2.5,4,32.1497,5,10.0,2,2,No,   ,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,N,N
3.8,6,27.8049,8,10.0,2,2,No,,Derived 5-cycle label,^^,N
3.0,6,26.8955,7,10.0,2,2,Yes,,Derived 5-cycle label,N,N
,6,27.619,8,15.0,2,2,No,   ,Derived 5-cycle label,^^,N
2.0,4,34.8841,6,15.0,2,2,No,N,not filled in,^^,N
2.0,4,Mod,6,,2,2,No,N,Derived 5-cycle label,^^,N
2.0,4,33.2237,6,10.0,2,2,none,Y,Vehicle Specific 5-cycle label,N,N
,8,20.2022,7,10.0,2,2,none,Y,Derived 5-cycle label,N,N
3.0,6,25.3494,7,10.0,2,2,none,   ,Derived 5-cycle label,N,N
1.8,4,39.2527,4,10.0,2,2,No,   ,not filled in,^^,N
4.8,8,23.5293,7,10.0,2,2,none,,Derived 5-cycle label,N,N
4.5,8,18.3593,7,10.0,2,2,none,   ,Derived 5-cycle label,N,N
3.8,6,27.7487,7,10.0,2,2,none,N,not filled in,N,N
2.4,4,38.9799,7,10.0,2,2,No,   ,Derived 5-cycle label,^^,N
3.5,6,26.7001,5,10.0,2,2,No,Y,not filled in,^^,N
3.5,6,28.7955,7,85.0,2,2,Yes,   ,not filled in,^^,N
2.0,4,34.5365,6,15.0,2,2,No,,not filled in,^^,N
,8,18.6918,6,85.0,2,1,No,Y,not filled in,N,N
,8,22.0455,6,85.0,1,1,No,   ,Derived 5-cycle label,Y,N
2.4,4,31.6475,4,10.0,2,2,No,,not filled in,^^,N
3.0,6,31.0274,8,10.0,2,2,Yes,,not filled in,^^,N
4.0,6,22.2404,5,10.0,2,2,No,   ,Derived 5-cycle label,N,N
3.7,6,25.8675,7,10.0,2,2,none,,Derived 5-cycle label,N,N
1.6,4,40.7605,6,10.0,2,2,No,   ,not filled in,^^,N
3.6,6,29.1393,6,85.0,2,2,No,,not filled in,^^,N
,4,40.2293,1,10.0,2,2,No,,Derived 5-cycle label,^^,N
5.7,8,23.1399,6,10.0,1,1,none,,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,^^,N
,6,26.1953,6,10.0,2,2,No,N,not filled in,N,N
,4,29.7169,6,10.0,2,2,No,Y,Derived 5-cycle label,N,N
,6,25.5488,8,10.0,2,2,Yes,Y,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,^^,N
,8,21.29,6,10.0,1,1,No,Y,Derived 5-cycle label,Y,N
1.6,4,33.1801,6,15.0,2,2,No,Y,Derived 5-cycle label,^^,N
2.4,4,30.8645,6,10.0,2,2,No,   ,Derived 5-cycle label,^^,N
1.8,4,34.7057,7,10.0,2,2,none,Y,not filled in,^^,N
3.6,6,25.9349,6,85.0,2,2,none,Y,Derived 5-cycle label,N,N
3.6,6,24.2663,8,10.0,2,2,No,Y,Derived 5-cycle label,N,N
2.5,5,31.6669,5,10.0,2,2,No,,Vehicle Specific 5-cycle label,^^,N
1.6,4,39.6659,6,10.0,2,2,none,Y,Derived 5-cycle label,N,N
3.0,6,24.9226,6,85.0,2,2,none,Y,Derived 5-cycle label,N,N
4.7,8,19.4895,6,10.0,2,2,none,   ,Derived 5-cycle label,N,N
,6,24.1906,6,10.0,2,2,No,Y,not filled in,N,N
5.3,8,23.4498,6,85.0,1,1,No,Y,not filled in,Y,N
2.0,4,41.3005,6,15.0,2,2,No,   ,not filled in,^^,N
,8,25.3787,8,10.0,2,2,Yes,Y,Derived 5-cycle label,^^,N
,6,38.5681,6,15.0,2,2,Yes,N,not filled in,^^,N
3.4,6,28.5822,7,10.0,2,2,none,N,Derived 5-cycle label,N,N
5.5,8,23.1471,7,10.0,2,2,Yes,Y,not filled in,^^,N
5.3,8,18.3252,4,85.0,1,1,No,   ,Derived 5-cycle label,N,N
4.7,8,20.5806,7,10.0,2,2,none,N,Derived 5-cycle label,N,N
,4,32.3665,5,10.0,2,2,none,N,Derived 5-cycle label,N,N
1.2,4,46.5881,5,10.0,2,2,none,N,Derived 5-cycle label,N,N
2.0,4,37.1121,5,10.0,2,2,none,N,not filled in,^^,N
2.0,4,33.9134,6,10.0,2,2,No,   ,Vehicle Specific 5-cycle label,^^,N
3.7,6,29.8002,6,15.0,2,2,none,Y,Derived 5-cycle label,N,N
1.6,4,39.4431,6,10.0,2,2,none,N,Derived 5-cycle label,N,N
1.4,4,41.1267,6,10.0,2,2,No,,not filled in,^^,N
2.0,4,34.3408,5,10.0,2,2,No,   ,Derived 5-cycle label,^^,N
2.0,4,33.2899,6,10.0,2,2,No,   ,not filled in,N,N
2.5,4,39.0003,6,10.0,2,2,Yes,Y,not filled in,^^,N
5.3,8,24.1547,6,85.0,1,1,No,Y,not filled in,^^,N
,4,30.2655,6,10.0,2,2,none,Y,Derived 5-cycle label,N,N
,8,20.4857,6,85.0,2,1,No,   ,Derived 5-cycle label,N,N
2.4,4,30.7482,6,10.0,2,2,No,,Derived 5-cycle label,^^,N
3.7,6,27.2739,6,15.0,2,2,none,,Derived 5-cycle label,N,N
,4,32.8549,6,15.0,2,2,No,   ,Derived 5-cycle label,N,N
1.8,4,41.6456,5,10.0,2,2,No,N,not filled in,^^,N
2.4,4,30.7928,6,10.0,2,2,No,Y,not filled in,^^,N
3.5,6,28.9473,7,10.0,2,2,No,Y,not filled in,N,N
2.0,4,33.2404,6,10.0,2,2,No,   ,not filled in,^^,N
,4,27.8973,1,10.0,2,2,No,   ,Derived 5-cycle label,^^,Y
,6,38.6897,6,15.0,2,2,Yes,N,Vehicle Specific 5-cycle label,N,N
,8,21.6358,8,10.0,2,2,none,Y,Vehicle Specific 5-cycle label,Y,N
,4,30.4846,9,10.0,2,2,No,   ,Derived 5-cycle label,N,N
6.6,12,19.3314,8,10.0,2,2,No,,not filled in,N,N
,6,25.7642,7,10.0,2,2,none,N,Derived 5-cycle label,N,N
3.6,6,29.8923,8,85.0,2,2,No,   ,Derived 5-cycle label,N,N
2.0,4,34.1594,8,10.0,2,2,none,Y,Derived 5-cycle label,N,N
,4,24.3741,6,10.0,2,2,No,Y,not filled in,^^,N
1.4,4,40.434,6,10.0,2,2,No,N,Derived 5-cycle label,^^,N
3.0,6,Mod,8,,2,2,Yes,   ,Vehicle Specific 5-cycle label,N,N
,4,36.8855,6,10.0,2,2,No,,Derived 5-cycle label,N,N
3.6,6,24.1943,6,10.0,2,2,No,,not filled in,N,N
4.4,8,24.2137,8,10.0,2,2,Yes,,Derived 5-cycle label,^^,N
1.5,4,63.7285,1,10.0,1,1,Yes,   ,not filled in,^^,N
3.5,6,29.4792,7,10.0,2,2,Yes,,Derived 5-cycle label,N,N
,6,35.3246,8,,2,2,Yes,Y,Derived 5-cycle label,N,N
2.0,4,34.5365,6,15.0,2,2,No,,Derived 5-cycle label,^^,N
3.8,6,29.1356,7,10.0,2,2,none,   ,Derived 5-cycle label,N,N
1.6,4,32.2775,6,15.0,2,2,No,Y,not filled in,N,N
3.8,6,28.5037,7,10.0,2,2,none,   ,Derived 5-cycle label,^^,N
1.6,4,32.9002,6,10.0,2,2,No,Y,Derived 5-cycle label,^^,N
1.8,4,44.6873,1,10.0,2,2,none,Y,not filled in,^^,N
3.0,6,33.4878,8,10.0,2,2,Yes,Y,not filled in,^^,N
3.5,6,30.2852,7,10.0,2,2,Yes,Y,not filled in,^^,N
5.0,8,20.3113,6,85.0,2,2,No,Y,not filled in,N,N
6.0,12,18.1658,8,85.0,2,2,none,Y,Vehicle Specific 5-cycle label,N,N
2.0,4,35.2258,8,10.0,2,2,none,N,not filled in,N,N
3.6,6,27.5271,7,10.0,2,2,none,,Derived 5-cycle label,N,N
,8,20.0593,8,85.0,2,2,none,Y,Derived 5-cycle label,N,N
1.4,4,35.7754,6,10.0,2,2,none,,Derived 5-cycle label,N,N
1.6,4,32.3213,6,10.0,2,2,No,   ,not filled in,^^,N
6.8,10,14.8714,5,15.0,1,1,No,Y,Derived 5-cycle label,^^,N
1.5,4,38.9194,6,15.0,2,2,Yes,   ,Derived 5-cycle label,^^,N
,6,27.9077,6,15.0,2,2,No,,Vehicle Specific 5-cycle label,^^,N
,4,37.3147,1,10.0,2,2,No,   ,Derived 5-cycle label,^^,N
,6,25.5437,6,10.0,2,2,No,   ,Vehicle Specific 5-cycle label,N,N
1.8,4,44.1614,7,10.0,2,2,none,Y,not filled in,^^,N
3.5,6,30.0207,7,10.0,2,2,Yes,   ,not filled in,N,N
,4,30.7928,6,10.0,2,2,none,Y,Derived 5-cycle label,N,N
1.4,4,43.9612,6,10.0,2,2,No,   ,Derived 5-cycle label,^^,N
5.4,8,17.5419,4,85.0,1,1,none,Y,Derived 5-cycle label,N,N
,6,22.3063,6,10.0,2,2,No,   ,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,^^,N
3.5,6,40.2612,7,10.0,2,2,Yes,   ,Derived 5-cycle label,^^,N
2.7,4,28.4517,4,10.0,2,2,none,,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,N,N
6.8,10,14.1292,5,15.0,1,1,No,Y,Derived 5-cycle label,^^,N
,8,18.6918,6,85.0,2,1,No,Y,not filled in,N,N
,4,31.3347,6,15.0,2,2,No,Y,Derived 5-cycle label,N,N
,8,19.0372,6,10.0,2,2,No,Y,Derived 5-cycle label,N,N
4.0,6,23.3652,6,10.0,2,2,No,   ,Derived 5-cycle label,^^,N
1.4,4,40.022,6,10.0,2,2,none,Y,Derived 5-cycle label,^^,N
,6,25.1131,6,15.0,2,2,No,Y,Derived 5-cycle label,N,N
5.0,8,22.1296,6,85.0,2,2,No,,Derived 5-cycle label,^^,N
,6,29.3582,8,10.0,2,2,Yes,,Derived 5-cycle label,N,N
,4,38.3561,5,10.0,2,2,No,N,Vehicle Specific 5-cycle label,^^,N
,8,18.2254,6,10.0,2,2,No,   ,Derived 5-cycle label,N,N
3.0,6,29.8951,6,10.0,2,2,Yes,N,not filled in,^^,N
3.0,6,23.597,8,10.0,2,2,none,,Derived 5-cycle label,^^,N
3.5,6,33.3565,7,10.0,2,2,No,   ,Derived 5-cycle label,N,N
3.5,6,25.3675,6,15.0,2,2,No,Y,not filled in,^^,N
,4,37.673,6,10.0,2,2,No,Y,Derived 5-cycle label,^^,N
1.8,4,39.4158,5,10.0,2,2,No,   ,Derived 5-cycle label,^^,N
,8,20.9921,6,85.0,1,1,No,Y,not filled in,Y,N
2.4,4,31.6475,4,10.0,2,2,No,,Derived 5-cycle label,^^,N
,6,24.1463,6,85.0,2,2,No,   ,Derived 5-cycle label,N,N
4.4,8,24.2137,8,10.0,2,2,Yes,   ,Derived 5-cycle label,^^,N
1.6,4,39.4431,6,10.0,2,2,none,   ,Derived 5-cycle label,N,N
3.8,6,23.4292,6,10.0,2,2,none,   ,Vehicle Specific 5-cycle label,^^,N
2.5,4,27.3942,5,10.0,2,2,No,   ,Derived 5-cycle label,N,N
,6,25.263,7,10.0,2,2,none,Y,Derived 5-cycle label,N,N
4.7,8,26.8436,7,10.0,2,2,Yes,,not filled in,^^,N
3.6,6,25.7627,6,10.0,2,2,No,,not filled in,^^,N
,6,21.7905,6,10.0,2,2,No,N,not filled in,N,N
,12,17.5048,7,10.0,2,2,Yes,N,Derived 5-cycle label,N,N
,6,31.1634,8,,2,2,No,   ,Derived 5-cycle label,N,N
3.5,6,35.4068,7,10.0,2,2,none,,Vehicle Specific 5-cycle label,^^,N
,8,21.9963,8,10.0,2,2,No,   ,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,^^,N
6.2,8,21.29,6,10.0,1,1,No,Y,Derived 5-cycle label,Y,N
2.4,4,51.5229,6,10.0,2,2,No,,Derived 5-cycle label,^^,N
3.8,6,25.7642,7,10.0,2,2,none,N,not filled in,N,N
4.6,8,18.674,4,15.0,1,1,none,Y,Vehicle Specific 5-cycle label,N,N
6.2,8,19.3238,7,10.0,2,2,none,Y,not filled in,N,N
4.7,8,26.2512,7,10.0,2,2,Yes,   ,not filled in,^^,N
1.6,4,39.6538,6,10.0,2,2,none,Y,Derived 5-cycle label,^^,N
3.0,6,27.541,6,10.0,2,2,No,   ,Derived 5-cycle label,N,N
,6,24.5767,5,10.0,2,2,No,Y,not filled in,^^,N
5.0,8,24.2207,6,15.0,2,2,none,N,Derived 5-cycle label,N,N
,8,18.7483,6,10.0,2,2,No,   ,Derived 5-cycle label,N,N
2.4,4,29.8745,6,10.0,2,2,none,Y,Derived 5-cycle label,N,N
2.0,4,32.8768,6,10.0,1,1,No,Y,Vehicle Specific 5-cycle label,^^,N
4.0,8,27.0553,8,10.0,2,2,Yes,Y,not filled in,^^,N
5.5,8,22.859,7,10.0,2,2,none,,Derived 5-cycle label,N,N
3.6,6,24.2663,8,85.0,2,2,No,Y,Derived 5-cycle label,N,N
6.7,12,17.4353,8,10.0,2,2,No,Y,not filled in,^^,N
,4,32.1189,6,10.0,2,2,No,N,Derived 5-cycle label,N,N
,6,26.9288,7,10.0,2,2,none,Y,Derived 5-cycle label,N,N
,4,30.8588,8,85.0,2,2,none,Y,Derived 5-cycle label,N,N
5.5,8,22.5449,7,10.0,2,2,Yes,   ,Derived 5-cycle label,N,N
,4,37.6303,7,10.0,2,2,Yes,Y,Derived 5-cycle label,N,N
3.5,6,24.2977,6,15.0,2,2,No,Y,Derived 5-cycle label,N,N
,6,31.1731,6,10.0,2,2,none,N,Derived 5-cycle label,N,N
4.0,6,23.5655,5,10.0,2,2,No,Y,Derived 5-cycle label,N,N
6.2,8,19.3238,7,10.0,2,2,none,   ,Derived 5-cycle label,N,N
3.6,6,27.4522,6,10.0,2,2,No,   ,Derived 5-cycle label,^^,N
,6,26.7775,6,10.0,2,2,No,   ,Vehicle Specific 5-cycle label,N,N
,8,21.575,6,10.0,1,1,No,Y,Derived 5-cycle label,Y,N
,4,59.4281,1,15.0,2,2,Yes,,Derived 5-cycle label,^^,N
3.5,6,26.9759,6,15.0,2,2,No,Y,Derived 5-cycle label,N,N
4.0,6,22.0264,6,10.0,2,2,No,   ,Derived 5-cycle label,N,N
,6,23.3895,5,10.0,2,2,No,Y,Derived 5-cycle label,^^,N
,6,25.2654,8,85.0,1,1,No,Y,Derived 5-cycle label,N,N
1.4,4,40.8578,6,10.0,2,2,No,Y,Derived 5-cycle label,^^,N
2.0,4,28.2707,6,10.0,2,2,none,N,not filled in,N,N
2.7,6,33.6298,7,10.0,2,2,none,N,Derived 5-cycle label,N,N
3.0,6,30.2743,8,10.0,2,2,none,   ,Derived 5-cycle label,N,N
2.5,4,55.2288,6,15.0,2,2,Yes,,not filled in,^^,N
2.4,4,30.7482,6,10.0,2,2,No,,Derived 5-cycle label,^^,N
3.6,6,26.8704,6,10.0,2,2,No,   ,Derived 5-cycle label,^^,N
3.5,6,26.7017,6,15.0,2,2,none,Y,Derived 5-cycle label,N,N
,10,17.2308,6,10.0,2,2,none,N,Vehicle Specific 5-cycle label,N,N
2.5,5,31.8797,6,10.0,2,2,none,Y,Vehicle Specific 5-cycle label,^^,N
3.5,6,25.9132,6,10.0,2,2,none,N,not filled in,^^,N
3.7,6,22.7077,6,85.0,2,2,No,Y,not filled in,N,N
,6,27.5347,8,85.0,2,2,Yes,,Derived 5-cycle label,N,N
,6,26.3989,5,10.0,2,2,No,,Derived 5-cycle label,N,N
1.6,4,34.7341,6,10.0,2,2,none,,Derived 5-cycle label,N,N
1.4,4,40.8125,6,10.0,2,2,No,   ,Derived 5-cycle label,^^,N
3.0,6,30.893,8,10.0,2,2,none,Y,Derived 5-cycle label,^^,N
,6,26.6374,8,85.0,1,1,No,Y,Derived 5-cycle label,N,N
3.3,6,28.1656,6,10.0,2,2,No,,Vehicle Specific 5-cycle label,N,N
3.0,6,33.1643,8,10.0,2,2,Yes,Y,Vehicle Specific 5-cycle label,^^,N
,8,23.2929,7,10.0,2,2,No,,Vehicle Specific 5-cycle label,N,N
,4,31.7256,9,10.0,2,2,none,Y,Derived 5-cycle label,N,N
1.4,4,43.1946,6,10.0,2,2,none,,Derived 5-cycle label,^^,N
,6,22.2613,6,10.0,2,2,No,N,Derived 5-cycle label,N,N
6.3,12,16.7215,7,10.0,2,2,none,   ,Derived 5-cycle label,^^,N
1.6,4,36.1159,6,10.0,2,2,No,,Derived 5-cycle label,N,N
2.4,4,34.0888,6,10.0,2,2,none,Y,Derived 5-cycle label,N,N
3.8,6,25.7642,7,10.0,2,2,none,N,Derived 5-cycle label,N,N
3.6,6,25.6217,8,10.0,2,2,No,Y,Derived 5-cycle label,N,N
1.6,4,41.288,5,10.0,2,2,none,N,not filled in,^^,N
3.5,6,30.0517,6,10.0,2,2,No,Y,Derived 5-cycle label,^^,N
2.4,4,35.3371,6,10.0,2,2,No,,Derived 5-cycle label,^^,N
2.0,4,36.8857,8,10.0,2,2,No,N,Vehicle Specific 5-cycle label,^^,N
,8,20.6321,6,85.0,1,1,none,Y,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,Y,N
5.6,8,24.1237,7,10.0,2,2,No,,not filled in,^^,N
4.7,8,26.1974,7,10.0,2,2,none,Y,not filled in,N,N
,12,15.4573,7,10.0,2,1,No,N,Vehicle Specific 5-cycle label,N,N
3.5,6,30.3317,6,10.0,2,2,No,   ,Derived 5-cycle label,^^,N
,6,25.5437,6,10.0,2,2,No,Y,Vehicle Specific 5-cycle label,N,N
,10,17.7954,6,10.0,1,1,none,N,Vehicle Specific 5-cycle label,N,N
,4,40.402,7,10.0,2,2,Yes,Y,not filled in,^^,N
5.9,12,19.4,6,10.0,2,2,none,Y,not filled in,^^,N
5.0,8,16.7722,6,10.0,2,2,none,Y,Derived 5-cycle label,N,N
3.5,6,28.0872,6,15.0,2,2,none,Y,Derived 5-cycle label,N,N
2.0,4,39.4532,5,15.0,2,2,No,N,not filled in,^^,N
,6,24.6108,8,85.0,2,2,Yes,   ,Derived 5-cycle label,N,N
,6,28.3417,7,10.0,2,2,none,Y,Derived 5-cycle label,N,N
3.7,6,26.6186,7,10.0,2,2,none,Y,Derived 5-cycle label,N,N
6.2,8,18.2491,7,10.0,2,2,none,Y,Derived 5-cycle label,N,N
6.2,8,17.1148,6,15.0,1,1,none,Y,Derived 5-cycle label,N,N
2.0,4,Mod,6,,2,2,none,N,not filled in,N,N
2.0,4,31.4548,8,10.0,2,2,Yes,Y,not filled in,N,N
